sn2025_kode,sn2025_navn,sn2007_kode,sn2007_navn
33.180,"Reparasjon og vedlikehold av militære stridskjøretøy, skip, båter, luft- og romfartøy",33.160,Reparasjon og vedlikehold av luftfartøyer og romfartøyer
33.190,Reparasjon og vedlikehold av annet utstyr,33.190,Reparasjon av annet utstyr
35.110,Produksjon av elektrisitet fra ikke-fornybare kilder,35.114,Produksjon av elektrisitet fra naturgass
35.110,Produksjon av elektrisitet fra ikke-fornybare kilder,35.119,Produksjon av elektrisitet ellers
35.121,Produksjon av elektrisitet fra vannkraft,35.111,Produksjon av elektrisitet fra vannkraft
35.122,Produksjon av elektrisitet fra vindkraft,35.112,Produksjon av elektrisitet fra vindkraft
35.123,Produksjon av elektrisitet fra solenergi,35.119,Produksjon av elektrisitet ellers
35.129,Produksjon av elektrisitet fra fornybare kilder ikke nevnt annet sted,35.113,Produksjon av elektrisitet fra biobrensel
35.129,Produksjon av elektrisitet fra fornybare kilder ikke nevnt annet sted,35.119,Produksjon av elektrisitet ellers
35.130,Overføring av elektrisitet,35.120,Overføring av elektrisitet
35.140,Distribusjon av elektrisitet,35.130,Distribusjon av elektrisitet
35.150,Handel med elektrisitet,35.140,Handel med elektrisitet
35.150,Handel med elektrisitet,47.300,Detaljhandel med drivstoff til motorvogner
35.160,Lagring av elektrisitet,35.111,Produksjon av elektrisitet fra vannkraft
35.160,Lagring av elektrisitet,35.112,Produksjon av elektrisitet fra vindkraft
35.160,Lagring av elektrisitet,35.113,Produksjon av elektrisitet fra biobrensel
35.160,Lagring av elektrisitet,35.114,Produksjon av elektrisitet fra naturgass
35.160,Lagring av elektrisitet,35.119,Produksjon av elektrisitet ellers
35.210,Produksjon av gass,35.210,Produksjon av gass
35.210,Produksjon av gass,38.210,Behandling og disponering av ikke-farlig avfall
35.230,Handel med gass gjennom ledningsnett,35.230,Handel med gass gjennom ledningsnett
35.240,Lagring av gass som del av distribusjonstjenester,52.100,Lagring
35.300,Vannbåren og luftbåren varme- og kjøleforsyning,35.300,Damp- og varmtvannsforsyning
35.400,Aktiviteter til meglere og agenter knyttet til elektrisk kraft og naturgass,35.140,Handel med elektrisitet
35.400,Aktiviteter til meglere og agenter knyttet til elektrisk kraft og naturgass,35.230,Handel med gass gjennom ledningsnett
38.210,Materialgjenvinning,38.210,Behandling og disponering av ikke-farlig avfall
38.210,Materialgjenvinning,38.310,Demontering av vrakede gjenstander
38.210,Materialgjenvinning,38.320,Sortering og bearbeiding av avfall for materialgjenvinning
38.220,Energigjenvinning,38.210,Behandling og disponering av ikke-farlig avfall
38.220,Energigjenvinning,38.220,Behandling og disponering av farlig avfall
38.230,Annen gjenvinning av avfall,38.210,Behandling og disponering av ikke-farlig avfall
38.230,Annen gjenvinning av avfall,38.220,Behandling og disponering av farlig avfall
38.310,Forbrenning av avfall uten energigjenvinning,38.210,Behandling og disponering av ikke-farlig avfall
38.310,Forbrenning av avfall uten energigjenvinning,38.220,Behandling og disponering av farlig avfall
38.320,Drift av deponi og permanent lagring av avfall,38.210,Behandling og disponering av ikke-farlig avfall
38.320,Drift av deponi og permanent lagring av avfall,38.220,Behandling og disponering av farlig avfall
38.330,Annen avfallshåndtering uten gjenvinning,38.210,Behandling og disponering av ikke-farlig avfall
38.330,Annen avfallshåndtering uten gjenvinning,38.220,Behandling og disponering av farlig avfall
39.000,"Miljøutbedring, opprydding og lignende aktivitet",39.000,"Miljørydding, miljørensing og lignende virksomhet"
41.000,Oppføring av bygninger,41.200,Oppføring av bygninger
42.110,Bygging av veier og motorveier,42.110,Bygging av veier og motorveier
42.130,Bygging av broer og tunneler,42.130,Bygging av bruer og tunneler
42.221,Bygging av anlegg for elektrisitet og telekommunikasjon til sjøs,42.220,Bygging av anlegg for elektrisitet og telekommunikasjon
42.222,Bygging av anlegg for elektrisitet og telekommunikasjon på land,42.220,Bygging av anlegg for elektrisitet og telekommunikasjon
42.990,Bygging av andre anlegg ikke nevnt annet sted,42.990,Bygging av andre anlegg ikke nevnt annet sted
42.990,Bygging av andre anlegg ikke nevnt annet sted,43.990,Annen spesialisert bygge- og anleggsvirksomhet
43.110,Riving av bygninger og andre byggverk,43.110,Riving av bygninger og andre konstruksjoner
43.221,Rørleggerarbeid,43.221,Rørleggerarbeid
43.222,"Kuldeanlegg-, varmepumpearbeid og installasjon av peiser",43.222,Kuldeanlegg- og varmepumpearbeid
43.222,"Kuldeanlegg-, varmepumpearbeid og installasjon av peiser",43.990,Annen spesialisert bygge- og anleggsvirksomhet
43.223,Ventilasjonsarbeid,43.223,Ventilasjonsarbeid
43.230,Installasjon av isoleringsmateriale,43.290,Annet installasjonsarbeid
43.230,Installasjon av isoleringsmateriale,43.390,Annen ferdiggjøring av bygninger
43.230,Installasjon av isoleringsmateriale,43.990,Annen spesialisert bygge- og anleggsvirksomhet
43.240,Annet installasjonsarbeid,43.290,Annet installasjonsarbeid
43.310,Stukkatørarbeid og pussing,43.310,Stukkatørarbeid og pussing
43.310,Stukkatørarbeid og pussing,43.390,Annen ferdiggjøring av bygninger
43.320,Snekkerarbeid,43.320,Snekkerarbeid
43.320,Snekkerarbeid,43.390,Annen ferdiggjøring av bygninger
43.330,Gulvlegging og tapetsering,43.330,Gulvlegging og tapetsering
43.330,Gulvlegging og tapetsering,43.390,Annen ferdiggjøring av bygninger
43.340,Maler- og glassarbeid,43.341,Malerarbeid
43.340,Maler- og glassarbeid,43.342,Glassarbeid
43.340,Maler- og glassarbeid,43.390,Annen ferdiggjøring av bygninger
43.350,Annen ferdiggjøring av bygninger,43.390,Annen ferdiggjøring av bygninger
43.350,Annen ferdiggjøring av bygninger,43.990,Annen spesialisert bygge- og anleggsvirksomhet
43.410,Takarbeid,43.911,Blikkenslagerarbeid
43.410,Takarbeid,43.919,Takarbeid ellers
43.410,Takarbeid,43.990,Annen spesialisert bygge- og anleggsvirksomhet
43.420,Annen spesialisert byggevirksomhet i forbindelse med oppføring av bygninger,43.990,Annen spesialisert bygge- og anleggsvirksomhet
43.500,Spesialisert byggevirksomhet i forbindelse med anleggsarbeid,42.110,Bygging av veier og motorveier
43.500,Spesialisert byggevirksomhet i forbindelse med anleggsarbeid,43.990,Annen spesialisert bygge- og anleggsvirksomhet
43.600,Formidlingstjenester innenfor spesialisert bygge- og anleggsvirksomhet,82.990,Annen forretningsmessig tjenesteyting ikke nevnt annet sted
43.910,Murerarbeid,43.990,Annen spesialisert bygge- og anleggsvirksomhet
43.990,Annen spesialisert bygge- og anleggsvirksomhet ikke nevnt annet sted,41.200,Oppføring av bygninger
43.990,Annen spesialisert bygge- og anleggsvirksomhet ikke nevnt annet sted,43.990,Annen spesialisert bygge- og anleggsvirksomhet
46.110,"Agenturhandel med jordbruksråvarer, levende dyr, tekstilråvarer og halvfabrikater",46.110,"Agenturhandel med jordbruksråvarer, levende dyr, tekstilråvarer og innsatsvarer"
46.110,"Agenturhandel med jordbruksråvarer, levende dyr, tekstilråvarer og halvfabrikater",82.990,Annen forretningsmessig tjenesteyting ikke nevnt annet sted
46.120,"Agenturhandel med brensel, drivstoff, malm, metaller og industrikjemikalier",46.120,"Agenturhandel med brensel, drivstoff, malm, metaller og industrikjemikalier"
46.120,"Agenturhandel med brensel, drivstoff, malm, metaller og industrikjemikalier",82.990,Annen forretningsmessig tjenesteyting ikke nevnt annet sted
46.130,"Agenturhandel med tømmer, trelast og byggevarer",46.130,"Agenturhandel med tømmer, trelast og byggevarer"
46.130,"Agenturhandel med tømmer, trelast og byggevarer",82.990,Annen forretningsmessig tjenesteyting ikke nevnt annet sted
46.140,"Agenturhandel med maskiner, produksjonsutstyr, båter og luftfartøy",46.140,"Agenturhandel med maskiner, produksjonsutstyr, båter og luftfartøyer"
46.140,"Agenturhandel med maskiner, produksjonsutstyr, båter og luftfartøy",82.990,Annen forretningsmessig tjenesteyting ikke nevnt annet sted
46.150,"Agenturhandel med møbler, husholdningsvarer og jernvarer",46.150,"Agenturhandel med møbler, husholdningsvarer og jernvarer"
46.150,"Agenturhandel med møbler, husholdningsvarer og jernvarer",82.990,Annen forretningsmessig tjenesteyting ikke nevnt annet sted
46.160,"Agenturhandel med tekstiler, klær, pelsskinn, skotøy og lærvarer",46.160,"Agenturhandel med tekstiler, klær, pelsskinn, skotøy og lærvarer"
46.160,"Agenturhandel med tekstiler, klær, pelsskinn, skotøy og lærvarer",82.990,Annen forretningsmessig tjenesteyting ikke nevnt annet sted
46.170,Agenturhandel med nærings- og nytelsesmidler,46.170,Agenturhandel med nærings- og nytelsesmidler
46.170,Agenturhandel med nærings- og nytelsesmidler,82.990,Annen forretningsmessig tjenesteyting ikke nevnt annet sted
46.180,Agenturhandel med spesialisert vareutvalg ellers,45.111,"Agentur- og engroshandel med biler og lette motorvogner, unntatt motorsykler"
46.180,Agenturhandel med spesialisert vareutvalg ellers,45.191,"Agentur- og engroshandel med andre motorvogner, unntatt motorsykler"
46.180,Agenturhandel med spesialisert vareutvalg ellers,45.310,"Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler"
46.180,Agenturhandel med spesialisert vareutvalg ellers,45.401,"Agentur- og engroshandel med motorsykler, deler og utstyr"
46.180,Agenturhandel med spesialisert vareutvalg ellers,46.180,Agenturhandel med spesialisert vareutvalg ellers
46.180,Agenturhandel med spesialisert vareutvalg ellers,82.990,Annen forretningsmessig tjenesteyting ikke nevnt annet sted
46.190,Agenturhandel med bredt vareutvalg,46.190,Agenturhandel med bredt vareutvalg
46.190,Agenturhandel med bredt vareutvalg,82.990,Annen forretningsmessig tjenesteyting ikke nevnt annet sted
46.321,Engroshandel med kjøtt og kjøttvarer,46.320,Engroshandel med kjøtt og kjøttvarer
46.322,"Engroshandel med fisk, skalldyr og bløtdyr",46.381,"Engroshandel med fisk, skalldyr og bløtdyr"
46.340,Engroshandel med drikkevarer,46.341,Engroshandel med vin og brennevin
46.340,Engroshandel med drikkevarer,46.349,Engroshandel med drikkevarer ellers
46.380,Engroshandel med andre næringsmidler,46.389,Engroshandel med spesialisert utvalg av nærings- og nytelsesmidler ikke nevnt annet sted
46.420,Engroshandel med klær og skotøy,46.421,Engroshandel med klær
46.420,Engroshandel med klær og skotøy,46.422,Engroshandel med skotøy
46.430,Engroshandel med elektriske husholdningsapparater,46.431,Engroshandel med elektriske husholdningsapparater og -maskiner
46.430,Engroshandel med elektriske husholdningsapparater,46.432,Engroshandel med radio og fjernsyn
46.430,Engroshandel med elektriske husholdningsapparater,46.434,Engroshandel med fotoutstyr
46.430,Engroshandel med elektriske husholdningsapparater,46.435,Engroshandel med optiske artikler
46.440,"Engroshandel med kjøkkenutstyr av porselen, glass og steintøy og rengjøringsmidler",46.441,"Engroshandel med kjøkkenutstyr, glass og steintøy"
46.440,"Engroshandel med kjøkkenutstyr av porselen, glass og steintøy og rengjøringsmidler",46.442,Engroshandel med rengjøringsmidler
46.460,Engroshandel med apotekvarer og medisinske varer,46.460,Engroshandel med sykepleie- og apotekvarer
46.470,"Engroshandel med husholdnings-, kontor- og butikkmøbler, gulvtepper og belysningsutstyr",46.471,Engroshandel med møbler
46.470,"Engroshandel med husholdnings-, kontor- og butikkmøbler, gulvtepper og belysningsutstyr",46.472,Engroshandel med gulvtepper
46.470,"Engroshandel med husholdnings-, kontor- og butikkmøbler, gulvtepper og belysningsutstyr",46.473,Engroshandel med belysningsutstyr
46.470,"Engroshandel med husholdnings-, kontor- og butikkmøbler, gulvtepper og belysningsutstyr",46.650,Engroshandel med kontormøbler
46.480,"Engroshandel med klokker, ur og smykker",46.481,Engroshandel med klokker og ur
46.480,"Engroshandel med klokker, ur og smykker",46.482,Engroshandel med gull- og sølvvarer
46.490,Engroshandel med andre husholdningsvarer,46.433,"Engroshandel med plater, musikk- og videokassetter og CD- og DVD-plater"
46.490,Engroshandel med andre husholdningsvarer,46.491,"Engroshandel med bøker, aviser og blader"
46.490,Engroshandel med andre husholdningsvarer,46.492,Engroshandel med reiseeffekter og lærvarer
46.490,Engroshandel med andre husholdningsvarer,46.493,Engroshandel med fritidsbåter og -utstyr
46.490,Engroshandel med andre husholdningsvarer,46.494,Engroshandel med sportsutstyr
46.490,Engroshandel med andre husholdningsvarer,46.495,Engroshandel med spill og leker
46.490,Engroshandel med andre husholdningsvarer,46.499,Engroshandel med husholdningsvarer og varer til personlig bruk ikke nevnt annet sted
46.500,Engroshandel med informasjons- og kommunikasjonsteknologiutstyr,46.510,"Engroshandel med datamaskiner, tilleggsutstyr til datamaskiner samt programvare"
46.500,Engroshandel med informasjons- og kommunikasjonsteknologiutstyr,46.520,Engroshandel med elektronikkutstyr og telekommunikasjonsutstyr samt deler
46.500,Engroshandel med informasjons- og kommunikasjonsteknologiutstyr,46.660,Engroshandel med maskiner og utstyr til kontor ellers
46.640,Engroshandel med maskiner og utstyr ellers,46.431,Engroshandel med elektriske husholdningsapparater og -maskiner
46.640,Engroshandel med maskiner og utstyr ellers,46.640,Engroshandel med maskiner og utstyr til tekstilproduksjon
46.640,Engroshandel med maskiner og utstyr ellers,46.691,Engroshandel med maskiner og utstyr til kraftproduksjon og installasjon
46.640,Engroshandel med maskiner og utstyr ellers,46.692,Engroshandel med skipsutstyr og fiskeredskap
46.640,Engroshandel med maskiner og utstyr ellers,46.693,Engroshandel med maskiner og utstyr til industri ellers
46.640,Engroshandel med maskiner og utstyr ellers,46.694,"Engroshandel med maskiner og utstyr til handel, transport og tjenesteyting ellers"
46.710,Engroshandel med motorvogner,45.111,"Agentur- og engroshandel med biler og lette motorvogner, unntatt motorsykler"
46.710,Engroshandel med motorvogner,45.191,"Agentur- og engroshandel med andre motorvogner, unntatt motorsykler"
46.720,Engroshandel med deler og utstyr for motorvogner,45.310,"Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler"
46.730,Engroshandel med motorsykler og tilhørende deler og utstyr,45.401,"Agentur- og engroshandel med motorsykler, deler og utstyr"
46.810,"Engroshandel med drivstoff, brensel og beslektede produkter",46.710,Engroshandel med drivstoff og brensel
46.820,Engroshandel med metaller og metallholdig malm,46.720,Engroshandel med metaller og metallholdig malm
46.830,"Engroshandel med tømmer, trelast, byggevarer og sanitærutstyr",46.731,Engroshandel med tømmer
46.830,"Engroshandel med tømmer, trelast, byggevarer og sanitærutstyr",46.732,Engroshandel med trelast
46.830,"Engroshandel med tømmer, trelast, byggevarer og sanitærutstyr",46.733,Engroshandel med fargevarer
46.830,"Engroshandel med tømmer, trelast, byggevarer og sanitærutstyr",46.739,Engroshandel med byggevarer ikke nevnt annet sted
46.840,"Engroshandel med jernvarer, rørleggerartikler og oppvarmingsutstyr",46.740,"Engroshandel med jernvarer, rørleggerartikler og oppvarmingsutstyr"
46.850,Engroshandel med kjemiske produkter,46.750,Engroshandel med kjemiske produkter
46.860,Engroshandel med innsatsvarer ellers,46.761,Engroshandel med papir og papp
46.860,Engroshandel med innsatsvarer ellers,46.769,Engroshandel med innsatsvarer ikke nevnt annet sted
46.870,Engroshandel med avfall og skrap,46.770,Engroshandel med avfall og skrap
46.890,Engroshandel med spesialisert vareutvalg ikke nevnt annet sted,,
47.110,Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler
47.110,Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,47.112,Kioskhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler
47.110,Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,47.810,"Torghandel med næringsmidler, drikkevarer og tobakksvarer"
47.110,Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,47.911,Postordre-/Internetthandel med bredt vareutvalg
47.110,Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,47.990,Detaljhandel utenom utsalgssted ellers
47.120,Detaljhandel med bredt vareutvalg ellers,47.190,Butikkhandel med bredt vareutvalg ellers
47.120,Detaljhandel med bredt vareutvalg ellers,47.820,"Torghandel med tekstiler, klær, skotøy og utstyrsvarer"
47.120,Detaljhandel med bredt vareutvalg ellers,47.890,Torghandel med andre varer
47.120,Detaljhandel med bredt vareutvalg ellers,47.911,Postordre-/Internetthandel med bredt vareutvalg
47.120,Detaljhandel med bredt vareutvalg ellers,47.990,Detaljhandel utenom utsalgssted ellers
47.210,Detaljhandel med frukt og grønnsaker,47.210,Butikkhandel med frukt og grønnsaker
47.210,Detaljhandel med frukt og grønnsaker,47.810,"Torghandel med næringsmidler, drikkevarer og tobakksvarer"
47.210,Detaljhandel med frukt og grønnsaker,47.919,Postordre-/Internetthandel med annet spesialisert vareutvalg
47.210,Detaljhandel med frukt og grønnsaker,47.990,Detaljhandel utenom utsalgssted ellers
47.220,Detaljhandel med kjøtt og kjøttvarer,47.220,Butikkhandel med kjøtt og kjøttvarer
47.220,Detaljhandel med kjøtt og kjøttvarer,47.810,"Torghandel med næringsmidler, drikkevarer og tobakksvarer"
47.220,Detaljhandel med kjøtt og kjøttvarer,47.919,Postordre-/Internetthandel med annet spesialisert vareutvalg
47.220,Detaljhandel med kjøtt og kjøttvarer,47.990,Detaljhandel utenom utsalgssted ellers
47.230,"Detaljhandel med fisk, skalldyr og bløtdyr",47.230,"Butikkhandel med fisk, skalldyr og bløtdyr"
47.230,"Detaljhandel med fisk, skalldyr og bløtdyr",47.810,"Torghandel med næringsmidler, drikkevarer og tobakksvarer"
47.230,"Detaljhandel med fisk, skalldyr og bløtdyr",47.919,Postordre-/Internetthandel med annet spesialisert vareutvalg
47.230,"Detaljhandel med fisk, skalldyr og bløtdyr",47.990,Detaljhandel utenom utsalgssted ellers
47.240,"Detaljhandel med bakervarer, konditorvarer og sukkervarer",47.241,Butikkhandel med bakervarer og konditorvarer
47.240,"Detaljhandel med bakervarer, konditorvarer og sukkervarer",47.242,Butikkhandel med sukkervarer
47.240,"Detaljhandel med bakervarer, konditorvarer og sukkervarer",47.810,"Torghandel med næringsmidler, drikkevarer og tobakksvarer"
47.240,"Detaljhandel med bakervarer, konditorvarer og sukkervarer",47.919,Postordre-/Internetthandel med annet spesialisert vareutvalg
47.240,"Detaljhandel med bakervarer, konditorvarer og sukkervarer",47.990,Detaljhandel utenom utsalgssted ellers
47.250,Detaljhandel med drikkevarer,47.251,Butikkhandel med vin og brennevin
47.250,Detaljhandel med drikkevarer,47.259,Butikkhandel med drikkevarer ellers
47.250,Detaljhandel med drikkevarer,47.810,"Torghandel med næringsmidler, drikkevarer og tobakksvarer"
47.250,Detaljhandel med drikkevarer,47.919,Postordre-/Internetthandel med annet spesialisert vareutvalg
47.250,Detaljhandel med drikkevarer,47.990,Detaljhandel utenom utsalgssted ellers
47.260,Detaljhandel med tobakksvarer,47.260,Butikkhandel med tobakksvarer
47.260,Detaljhandel med tobakksvarer,47.810,"Torghandel med næringsmidler, drikkevarer og tobakksvarer"
47.260,Detaljhandel med tobakksvarer,47.919,Postordre-/Internetthandel med annet spesialisert vareutvalg
47.260,Detaljhandel med tobakksvarer,47.990,Detaljhandel utenom utsalgssted ellers
47.270,Detaljhandel med nærings- og nytelsesmidler ellers,47.291,Butikkhandel med helsekost
47.270,Detaljhandel med nærings- og nytelsesmidler ellers,47.292,Butikkhandel med kaffe og te
47.270,Detaljhandel med nærings- og nytelsesmidler ellers,47.299,Butikkhandel med nærings- og nytelsesmidler ikke nevnt annet sted
47.270,Detaljhandel med nærings- og nytelsesmidler ellers,47.810,"Torghandel med næringsmidler, drikkevarer og tobakksvarer"
47.270,Detaljhandel med nærings- og nytelsesmidler ellers,47.917,Postordre-/Internetthandel med helsekost
47.270,Detaljhandel med nærings- og nytelsesmidler ellers,47.919,Postordre-/Internetthandel med annet spesialisert vareutvalg
47.270,Detaljhandel med nærings- og nytelsesmidler ellers,47.990,Detaljhandel utenom utsalgssted ellers
47.300,Detaljhandel med drivstoff til motorvogner,47.300,Detaljhandel med drivstoff til motorvogner
47.400,Detaljhandel med informasjons- og kommunikasjonsteknologiutstyr,47.410,Butikkhandel med datamaskiner og utstyr til datamaskiner
47.400,Detaljhandel med informasjons- og kommunikasjonsteknologiutstyr,47.420,Butikkhandel med telekommunikasjonsutstyr
47.400,Detaljhandel med informasjons- og kommunikasjonsteknologiutstyr,47.430,Butikkhandel med audio- og videoutstyr
47.400,Detaljhandel med informasjons- og kommunikasjonsteknologiutstyr,47.890,Torghandel med andre varer
47.400,Detaljhandel med informasjons- og kommunikasjonsteknologiutstyr,47.914,"Postordre-/Internetthandel med elektriske husholdningsapparater, radio, fjernsyn, plater, kassetter og musikkinstrumenter"
47.400,Detaljhandel med informasjons- og kommunikasjonsteknologiutstyr,47.916,Postordre-/Internetthandel med IKT-utstyr
47.400,Detaljhandel med informasjons- og kommunikasjonsteknologiutstyr,47.990,Detaljhandel utenom utsalgssted ellers
47.510,Detaljhandel med tekstiler og utstyrsvarer,47.510,Butikkhandel med tekstiler og utstyrsvarer
47.510,Detaljhandel med tekstiler og utstyrsvarer,47.820,"Torghandel med tekstiler, klær, skotøy og utstyrsvarer"
47.510,Detaljhandel med tekstiler og utstyrsvarer,47.912,"Postordre-/Internetthandel med tekstiler, utstyrsvarer, klær, skotøy, reiseeffekter og lærvarer"
47.510,Detaljhandel med tekstiler og utstyrsvarer,47.990,Detaljhandel utenom utsalgssted ellers
47.520,"Detaljhandel med jernvarer, byggevarer, fargevarer og glass",47.521,"Butikkhandel med bredt utvalg av jernvarer, fargevarer og andre byggevarer"
47.520,"Detaljhandel med jernvarer, byggevarer, fargevarer og glass",47.522,Butikkhandel med jernvarer
47.520,"Detaljhandel med jernvarer, byggevarer, fargevarer og glass",47.523,Butikkhandel med fargevarer
47.520,"Detaljhandel med jernvarer, byggevarer, fargevarer og glass",47.524,Butikkhandel med trelast
47.520,"Detaljhandel med jernvarer, byggevarer, fargevarer og glass",47.529,Butikkhandel med byggevarer ikke nevnt annet sted
47.520,"Detaljhandel med jernvarer, byggevarer, fargevarer og glass",47.599,Butikkhandel med innredningsartikler ikke nevnt annet sted
47.520,"Detaljhandel med jernvarer, byggevarer, fargevarer og glass",47.890,Torghandel med andre varer
47.520,"Detaljhandel med jernvarer, byggevarer, fargevarer og glass",47.919,Postordre-/Internetthandel med annet spesialisert vareutvalg
47.520,"Detaljhandel med jernvarer, byggevarer, fargevarer og glass",47.990,Detaljhandel utenom utsalgssted ellers
47.530,"Detaljhandel med tapet, gulvtepper og gulvbelegg",47.531,Butikkhandel med tapeter og gulvbelegg
47.530,"Detaljhandel med tapet, gulvtepper og gulvbelegg",47.532,Butikkhandel med tepper
47.530,"Detaljhandel med tapet, gulvtepper og gulvbelegg",47.533,Butikkhandel med gardiner
47.530,"Detaljhandel med tapet, gulvtepper og gulvbelegg",47.890,Torghandel med andre varer
47.530,"Detaljhandel med tapet, gulvtepper og gulvbelegg",47.919,Postordre-/Internetthandel med annet spesialisert vareutvalg
47.530,"Detaljhandel med tapet, gulvtepper og gulvbelegg",47.990,Detaljhandel utenom utsalgssted ellers
47.540,Detaljhandel med elektriske husholdningsapparater,47.540,Butikkhandel med elektriske husholdningsapparater
47.540,Detaljhandel med elektriske husholdningsapparater,47.890,Torghandel med andre varer
47.540,Detaljhandel med elektriske husholdningsapparater,47.914,"Postordre-/Internetthandel med elektriske husholdningsapparater, radio, fjernsyn, plater, kassetter og musikkinstrumenter"
47.540,Detaljhandel med elektriske husholdningsapparater,47.990,Detaljhandel utenom utsalgssted ellers
47.551,"Detaljhandel med møbler, gjelder også madrasser",47.591,Butikkhandel med møbler
47.551,"Detaljhandel med møbler, gjelder også madrasser",47.890,Torghandel med andre varer
47.551,"Detaljhandel med møbler, gjelder også madrasser",47.913,"Postordre-/Internetthandel med belysningsutstyr, kjøkkenutstyr, møbler og innredningsartikler"
47.551,"Detaljhandel med møbler, gjelder også madrasser",47.990,Detaljhandel utenom utsalgssted ellers
47.552,Detaljhandel med belysningsartikler,47.592,Butikkhandel med belysningsutstyr
47.552,Detaljhandel med belysningsartikler,47.890,Torghandel med andre varer
47.552,Detaljhandel med belysningsartikler,47.913,"Postordre-/Internetthandel med belysningsutstyr, kjøkkenutstyr, møbler og innredningsartikler"
47.552,Detaljhandel med belysningsartikler,47.990,Detaljhandel utenom utsalgssted ellers
47.553,"Detaljhandel med husholdningsredskaper og bestikk, servise, glassvarer, porselen og keramikk",47.593,"Butikkhandel med kjøkkenutstyr, glass og steintøy"
47.553,"Detaljhandel med husholdningsredskaper og bestikk, servise, glassvarer, porselen og keramikk",47.890,Torghandel med andre varer
47.553,"Detaljhandel med husholdningsredskaper og bestikk, servise, glassvarer, porselen og keramikk",47.913,"Postordre-/Internetthandel med belysningsutstyr, kjøkkenutstyr, møbler og innredningsartikler"
47.553,"Detaljhandel med husholdningsredskaper og bestikk, servise, glassvarer, porselen og keramikk",47.990,Detaljhandel utenom utsalgssted ellers
47.559,Detaljhandel med innredningsartikler ikke nevnt annet sted,47.599,Butikkhandel med innredningsartikler ikke nevnt annet sted
47.559,Detaljhandel med innredningsartikler ikke nevnt annet sted,47.789,Butikkhandel ikke nevnt annet sted
47.559,Detaljhandel med innredningsartikler ikke nevnt annet sted,47.890,Torghandel med andre varer
47.559,Detaljhandel med innredningsartikler ikke nevnt annet sted,47.913,"Postordre-/Internetthandel med belysningsutstyr, kjøkkenutstyr, møbler og innredningsartikler"
47.559,Detaljhandel med innredningsartikler ikke nevnt annet sted,47.990,Detaljhandel utenom utsalgssted ellers
47.610,Detaljhandel med bøker,47.610,Butikkhandel med bøker
47.610,Detaljhandel med bøker,47.890,Torghandel med andre varer
47.610,Detaljhandel med bøker,47.915,"Postordre-/internetthandel med bøker, papir, aviser og blader"
47.610,Detaljhandel med bøker,47.990,Detaljhandel utenom utsalgssted ellers
47.620,Detaljhandel med aviser og papirvarer,47.620,Butikkhandel med aviser og papirvarer
47.620,Detaljhandel med aviser og papirvarer,47.890,Torghandel med andre varer
47.620,Detaljhandel med aviser og papirvarer,47.915,"Postordre-/internetthandel med bøker, papir, aviser og blader"
47.620,Detaljhandel med aviser og papirvarer,47.990,Detaljhandel utenom utsalgssted ellers
47.631,Detaljhandel med sportsvarer,47.641,Butikkhandel med sportsutstyr
47.631,Detaljhandel med sportsvarer,47.789,Butikkhandel ikke nevnt annet sted
47.631,Detaljhandel med sportsvarer,47.890,Torghandel med andre varer
47.631,Detaljhandel med sportsvarer,47.919,Postordre-/Internetthandel med annet spesialisert vareutvalg
47.631,Detaljhandel med sportsvarer,47.990,Detaljhandel utenom utsalgssted ellers
47.632,Detaljhandel med fritidsbåter og tilhørende utstyr,47.642,Butikkhandel med fritidsbåter og -utstyr
47.632,Detaljhandel med fritidsbåter og tilhørende utstyr,47.890,Torghandel med andre varer
47.632,Detaljhandel med fritidsbåter og tilhørende utstyr,47.919,Postordre-/Internetthandel med annet spesialisert vareutvalg
47.632,Detaljhandel med fritidsbåter og tilhørende utstyr,47.990,Detaljhandel utenom utsalgssted ellers
47.640,Detaljhandel med spill og leker,47.650,Butikkhandel med spill og leker
47.640,Detaljhandel med spill og leker,47.890,Torghandel med andre varer
47.640,Detaljhandel med spill og leker,47.919,Postordre-/Internetthandel med annet spesialisert vareutvalg
47.640,Detaljhandel med spill og leker,47.990,Detaljhandel utenom utsalgssted ellers
47.690,Detaljhandel med kulturvarer ikke nevnt annet sted,47.594,Butikkhandel med musikkinstrumenter og noter
47.690,Detaljhandel med kulturvarer ikke nevnt annet sted,47.630,Butikkhandel med innspillinger av musikk og video
47.690,Detaljhandel med kulturvarer ikke nevnt annet sted,47.789,Butikkhandel ikke nevnt annet sted
47.690,Detaljhandel med kulturvarer ikke nevnt annet sted,47.890,Torghandel med andre varer
