sn2025_kode,sn2025_navn,sn2007_kode,sn2007_navn
10.720,"Produksjon av kavringer, kjeks og konserverte konditorvarer",10.720,"Produksjon av kavringer, kjeks og konserverte konditorvarer"
10.720,"Produksjon av kavringer, kjeks og konserverte konditorvarer",10.860,Produksjon av homogeniserte matprodukter og diettmat
10.730,Produksjon av melprodukter ellers,10.730,"Produksjon av makaroni, nudler, couscous og lignende pastavarer"
10.730,Produksjon av melprodukter ellers,10.860,Produksjon av homogeniserte matprodukter og diettmat
10.860,Produksjon av homogeniserte matprodukter og diettmat,10.860,Produksjon av homogeniserte matprodukter og diettmat
10.890,Produksjon av næringsmidler ikke nevnt annet sted,10.890,Produksjon av næringsmidler ikke nevnt annet sted
10.911,Produksjon av fôrvarer for husdyr i landbruk,10.910,Produksjon av fôrvarer til husdyrhold
10.912,Produksjon av fôrvarer for akvakultur,10.910,Produksjon av fôrvarer til husdyrhold
11.030,Produksjon av sider og andre gjærede fruktdrikker,11.030,Produksjon av sider og annen fruktvin
11.070,Produksjon av leskedrikker og flaskevann,10.890,Produksjon av næringsmidler ikke nevnt annet sted
11.070,Produksjon av leskedrikker og flaskevann,11.070,"Produksjon av mineralvann, leskedrikker og annet vann på flaske"
13.100,Bearbeiding og spinning av tekstilfibre,13.100,Bearbeiding og spinning av tekstilfibrer
13.200,Veving av tekstiler,13.200,Veving av tekstiler
13.300,Etterbehandling av tekstiler,13.300,Etterbehandling av tekstiler
13.300,Etterbehandling av tekstiler,18.120,Trykking ellers
13.910,Produksjon av trikotasjestoffer og heklede stoffer,13.910,Produksjon av stoffer av trikotasje
13.920,Produksjon av husholdningstekstiler og innredningsvarer i stoff klare til bruk,13.921,Produksjon av utstyrsvarer
13.920,Produksjon av husholdningstekstiler og innredningsvarer i stoff klare til bruk,13.929,"Produksjon av andre tekstilvarer, unntatt klær"
13.940,"Produksjon av tauverk, rep, hyssing og nett",13.940,Produksjon av tauverk og nett
13.950,Produksjon av ikke-vevde tekstiler og tekstilvarer,13.950,"Produksjon av ikke-vevde tekstiler og tekstilvarer, unntatt klær"
13.960,Produksjon av tekstiler til teknisk og industriell bruk,13.200,Veving av tekstiler
13.960,Produksjon av tekstiler til teknisk og industriell bruk,13.929,"Produksjon av andre tekstilvarer, unntatt klær"
13.960,Produksjon av tekstiler til teknisk og industriell bruk,13.960,Produksjon av tekstiler til teknisk og industriell bruk
14.100,Produksjon av klær av trikotasje og heklede klær,14.130,Produksjon av annet yttertøy
14.100,Produksjon av klær av trikotasje og heklede klær,14.140,Produksjon av undertøy og innertøy
14.100,Produksjon av klær av trikotasje og heklede klær,14.190,Produksjon av klær og tilbehør ellers
14.100,Produksjon av klær av trikotasje og heklede klær,14.310,Produksjon av strømpevarer
14.100,Produksjon av klær av trikotasje og heklede klær,14.390,Produksjon av andre klær av trikotasje
14.210,Produksjon av yttertøy,14.130,Produksjon av annet yttertøy
14.210,Produksjon av yttertøy,14.140,Produksjon av undertøy og innertøy
14.210,Produksjon av yttertøy,14.190,Produksjon av klær og tilbehør ellers
14.220,Produksjon av undertøy,14.140,Produksjon av undertøy og innertøy
14.220,Produksjon av undertøy,14.190,Produksjon av klær og tilbehør ellers
14.230,Produksjon av arbeidstøy,14.120,Produksjon av arbeidstøy
14.240,Produksjon av klær av lær og pelsvarer,14.110,Produksjon av klær av lær
14.240,Produksjon av klær av lær og pelsvarer,14.200,Produksjon av pelsvarer
14.290,Produksjon av klær og tilbehør ikke nevnt annet sted,14.190,Produksjon av klær og tilbehør ellers
15.110,Beredning og farging av lær og pelsskinn,15.110,"Beredning av lær, og beredning og farging av pelsskinn"
15.200,Produksjon av skotøy,15.200,Produksjon av skotøy
15.200,Produksjon av skotøy,16.290,"Produksjon av andre trevarer og varer av kork, strå og flettematerialer"
15.200,Produksjon av skotøy,22.190,Produksjon av gummiprodukter ellers
15.200,Produksjon av skotøy,22.290,Produksjon av plastprodukter ellers
16.110,Saging og høvling av tre,16.100,"Saging, høvling og impregnering av tre"
16.120,Bearbeiding og etterbehandling av tre,16.100,"Saging, høvling og impregnering av tre"
16.210,Produksjon av finerplater og andre bygnings- og møbelplater av tre,16.210,Produksjon av finerplater og andre bygnings- og møbelplater av tre
16.220,Produksjon av sammensatte parkettstaver,16.220,Produksjon av sammensatte parkettstaver
16.230,Produksjon av andre bygningsartikler,16.231,Produksjon av monteringsferdige hus
16.230,Produksjon av andre bygningsartikler,16.232,Produksjon av bygningsartikler
16.240,Produksjon av treemballasje,16.240,Produksjon av treemballasje
16.250,Produksjon av dører og vinduer i tre,16.232,Produksjon av bygningsartikler
16.260,Produksjon av fast brensel av vegetabilsk biomasse,16.290,"Produksjon av andre trevarer og varer av kork, strå og flettematerialer"
16.270,Etterbehandling av treprodukter,16.210,Produksjon av finerplater og andre bygnings- og møbelplater av tre
16.270,Etterbehandling av treprodukter,16.220,Produksjon av sammensatte parkettstaver
16.270,Etterbehandling av treprodukter,16.232,Produksjon av bygningsartikler
16.270,Etterbehandling av treprodukter,16.240,Produksjon av treemballasje
16.270,Etterbehandling av treprodukter,16.290,"Produksjon av andre trevarer og varer av kork, strå og flettematerialer"
16.280,"Produksjon av andre trevarer og varer av kork, strå og flettematerialer",16.290,"Produksjon av andre trevarer og varer av kork, strå og flettematerialer"
17.210,"Produksjon av bølgepapp, papp og emballasje av papir og papp",17.210,Produksjon av bølgepapp og emballasje av papir og papp
17.220,"Produksjon av husholdnings-, sanitær- og toalettartikler",17.220,"Produksjon av husholdnings-, sanitær- og toalettartikler av papir"
17.240,Produksjon av tapet,17.240,Produksjon av tapeter
17.250,Produksjon av varer av papir og papp ellers,17.290,Produksjon av varer av papir og papp ellers
18.120,Trykking ellers,18.120,Trykking ellers
18.120,Trykking ellers,74.200,Fotografvirksomhet
18.120,Trykking ellers,82.190,"Fotokopiering, forberedelse av dokumenter og andre spesialiserte kontortjenester"
19.200,Produksjon av raffinerte petroleumsprodukter og fossile brenselsprodukter,19.200,Produksjon av raffinerte petroleumsprodukter
20.110,Produksjon av industrigasser,20.110,Produksjon av industrigasser
20.130,Produksjon av andre uorganiske kjemiske råvarer,20.130,Produksjon av andre uorganiske kjemikalier
20.140,Produksjon av andre organiske kjemiske råvarer,20.110,Produksjon av industrigasser
20.140,Produksjon av andre organiske kjemiske råvarer,20.140,Produksjon av andre organiske kjemiske råvarer
20.150,Produksjon av gjødsel og nitrogenforbindelser,20.150,"Produksjon av gjødsel, nitrogenforbindelser og vekstjord"
20.160,Produksjon av basisplast,20.160,Produksjon av basisplast
20.160,Produksjon av basisplast,38.320,Sortering og bearbeiding av avfall for materialgjenvinning
20.200,"Produksjon av plantevern-, skadedyr- og desinfeksjonsmidler og andre landbrukskjemiske produkter",20.200,Produksjon av plantevern- og skadedyrmidler og andre landbrukskjemiske produkter
20.300,"Produksjon av maling, lakk og lignende ytterbelegg, trykkfarger og tetningsmidler",20.300,"Produksjon av maling og lakk, trykkfarger og tetningsmidler"
20.410,"Produksjon av såpe og vaske-, rense- og poleringsmidler",20.410,"Produksjon av såpe og vaskemidler, rense- og polermidler"
20.510,Produksjon av flytende biobrensel,20.140,Produksjon av andre organiske kjemiske råvarer
20.510,Produksjon av flytende biobrensel,20.590,Produksjon av kjemiske produkter ikke nevnt annet sted
20.590,Produksjon av andre kjemiske produkter ikke nevnt annet sted,20.510,Produksjon av eksplosiver
20.590,Produksjon av andre kjemiske produkter ikke nevnt annet sted,20.520,Produksjon av lim
20.590,Produksjon av andre kjemiske produkter ikke nevnt annet sted,20.530,Produksjon av eteriske oljer
20.590,Produksjon av andre kjemiske produkter ikke nevnt annet sted,20.590,Produksjon av kjemiske produkter ikke nevnt annet sted
22.110,"Produksjon av gummidekk og slanger til gummidekk, og regummiering og mønsterskjæring av gummidekk",22.110,"Produksjon av gummidekk og slanger til gummidekk, og regummiering og vulkanisering av gummidekk"
22.120,Produksjon av gummiprodukter ellers,22.190,Produksjon av gummiprodukter ellers
22.210,"Produksjon av plater, film, rør og profiler av plast",22.210,Produksjon av halvfabrikater av plast
22.210,"Produksjon av plater, film, rør og profiler av plast",22.290,Produksjon av plastprodukter ellers
22.220,Produksjon av plastemballasje,22.220,Produksjon av plastemballasje
22.230,Produksjon av dører og vinduer av plast,22.230,Produksjon av byggevarer av plast
22.240,Produksjon av byggevarer av plast,22.230,Produksjon av byggevarer av plast
22.250,Bearbeiding og etterbehandling av plastprodukter,22.210,Produksjon av halvfabrikater av plast
22.250,Bearbeiding og etterbehandling av plastprodukter,22.220,Produksjon av plastemballasje
22.250,Bearbeiding og etterbehandling av plastprodukter,22.230,Produksjon av byggevarer av plast
22.250,Bearbeiding og etterbehandling av plastprodukter,22.290,Produksjon av plastprodukter ellers
22.260,Produksjon av plastprodukter ellers,22.290,Produksjon av plastprodukter ellers
23.120,Bearbeiding av planglass,23.120,Bearbeiding av planglass
23.140,Produksjon av glassfibre,23.140,Produksjon av glassfibrer
23.150,Produksjon av teknisk glass og andre glassvarer,23.190,Produksjon av teknisk glass og andre glassvarer
23.420,Produksjon av sanitærutstyr av keramisk materiale,23.420,Produksjon av sanitærutstyr av keramisk materiale
23.450,Produksjon av andre keramiske produkter,23.490,Produksjon av andre keramiske produkter
23.660,"Produksjon av betong-, sement- og gipsprodukter ellers",22.230,Produksjon av byggevarer av plast
23.660,"Produksjon av betong-, sement- og gipsprodukter ellers",23.690,"Produksjon av betong-, sement- og gipsprodukter ellers"
23.990,Produksjon av andre ikke-metalliske mineralprodukter ikke nevnt annet sted,13.200,Veving av tekstiler
23.990,Produksjon av andre ikke-metalliske mineralprodukter ikke nevnt annet sted,23.990,Produksjon av ikke-metallholdige mineralprodukter ikke nevnt annet sted
24.100,"Produksjon av jern og stål, samt ferrolegeringer",24.101,Produksjon av jern og stål
24.100,"Produksjon av jern og stål, samt ferrolegeringer",24.102,Produksjon av ferrolegeringer
24.200,"Produksjon av rør, rørdeler og andre hule konstruksjoner av stål",24.200,Produksjon av andre rør og rørdeler av stål
24.420,Produksjon av aluminium,24.421,Produksjon av primæraluminium
24.420,Produksjon av aluminium,24.422,Produksjon av halvfabrikater av aluminium
24.530,Støping av lettmetaller,24.530,Støping av lettmetaller
24.540,Støping av andre ikke-jernholdige metaller,24.530,Støping av lettmetaller
24.540,Støping av andre ikke-jernholdige metaller,24.540,Støping av andre ikke-jernholdige metaller
25.210,Produksjon av radiatorer til sentralvarmeanlegg og dampgeneratorer og -kjeler,25.210,Produksjon av radiatorer og kjeler til sentralvarmeanlegg
25.210,Produksjon av radiatorer til sentralvarmeanlegg og dampgeneratorer og -kjeler,25.300,"Produksjon av dampkjeler, unntatt kjeler til sentralvarmeanlegg"
25.220,"Produksjon av andre tanker, cisterner og beholdere av metall",25.290,"Produksjon av andre tanker, cisterner og beholdere av metall"
25.300,Produksjon av våpen og ammunisjon,25.400,Produksjon av våpen og ammunisjon
25.400,"Smiing, stansing og valsing av metall, og pulvermetallurgi",25.500,"Smiing, stansing og valsing av metall, og pulvermetallurgi"
25.510,Overflatebehandling av metaller,25.610,Overflatebehandling av metaller
25.520,Varmebehandling av metaller,25.610,Overflatebehandling av metaller
25.530,Bearbeiding av metaller,25.610,Overflatebehandling av metaller
25.530,Bearbeiding av metaller,25.620,Bearbeiding av metaller
25.610,Produksjon av kjøkkenredskaper,25.710,Produksjon av kjøkkenredskaper og skjære- og klipperedskaper
25.620,Produksjon av låser og beslag,25.720,Produksjon av låser og beslag
25.630,Produksjon av håndverktøy,25.730,Produksjon av håndverktøy
25.990,Produksjon av andre metallvarer ikke nevnt annet sted,25.990,Produksjon av metallvarer ikke nevnt annet sted
26.200,Produksjon av datamaskiner og tilleggsutstyr,26.200,Produksjon av datamaskiner og tilleggsutstyr
26.200,Produksjon av datamaskiner og tilleggsutstyr,28.230,Produksjon av kontormaskiner og utstyr (unntatt datamaskiner og tilleggsutstyr)
26.300,Produksjon av kommunikasjonsutstyr,26.300,Produksjon av kommunikasjonsutstyr
26.400,Produksjon av elektronikk til husholdningsbruk,26.200,Produksjon av datamaskiner og tilleggsutstyr
26.400,Produksjon av elektronikk til husholdningsbruk,26.400,Produksjon av elektronikk til husholdningsbruk
26.510,"Produksjon av måle-, kontroll- og navigasjonsinstrumenter",26.300,Produksjon av kommunikasjonsutstyr
26.510,"Produksjon av måle-, kontroll- og navigasjonsinstrumenter",26.510,"Produksjon av måle-, kontroll- og navigasjonsinstrumenter"
26.600,"Produksjon av strålingsutstyr, elektromedisinsk og elektroterapeutisk utstyr",26.600,"Produksjon av strålingsutstyr, elektromedisinsk og elektroterapeutisk utstyr"
26.600,"Produksjon av strålingsutstyr, elektromedisinsk og elektroterapeutisk utstyr",32.500,Produksjon av medisinske og tanntekniske instrumenter og utstyr
26.700,"Produksjon av optiske instrumenter, magnetiske og optiske medier og fotografisk utstyr",26.700,Produksjon av optiske instrumenter og fotografisk utstyr
26.700,"Produksjon av optiske instrumenter, magnetiske og optiske medier og fotografisk utstyr",26.800,Produksjon av magnetiske og optiske media
27.110,"Produksjon av elektromotorer, generatorer og transformatorer",27.110,"Produksjon av elektromotorer, generatorer og transformatorer"
27.110,"Produksjon av elektromotorer, generatorer og transformatorer",27.120,Produksjon av elektriske fordelings- og kontrolltavler og paneler
27.110,"Produksjon av elektromotorer, generatorer og transformatorer",27.900,Produksjon av annet elektrisk utstyr
27.120,Produksjon av elektriske fordelings- og kontrolltavler og paneler,27.120,Produksjon av elektriske fordelings- og kontrolltavler og paneler
27.510,Produksjon av elektriske husholdningsmaskiner og -apparater,27.510,Produksjon av elektriske husholdningsmaskiner og apparater
27.520,Produksjon av ikke-elektriske husholdningsmaskiner og -apparater,27.520,Produksjon av ikke-elektriske husholdningsmaskiner og apparater
27.900,Produksjon av annet elektrisk utstyr,27.900,Produksjon av annet elektrisk utstyr
