etikett,selskaper,forste_dato,siste_dato,selsk_for_som,selsk_etter_som,vintage,metode,sn2007_kode,sn2007_navn,sn2025_kode,sn2025_navn,kanonisk_sn2007,kanonisk_navn,kanonisk_kilde,er_bygg_sn2007,er_bygg_sn2025,selskapstekst_kode
Reparasjon og vedlikehold av andre transportmidler,1,2024-04-11,2024-04-11,1,0,SN2007,T1,33.170,Reparasjon og vedlikehold av andre transportmidler,,,33.170,Reparasjon og vedlikehold av andre transportmidler,direkte,false,,
Reparasjon og vedlikehold av annet utstyr,1,2025-11-13,2025-11-13,0,1,SN2025,T2,,,33.190,Reparasjon og vedlikehold av annet utstyr,33.190,Reparasjon av annet utstyr,korrespondanse-1til1,false,false,33.190
Reparasjon og vedlikehold av elektrisk utstyr,1,2025-12-18,2025-12-18,0,1,SN2025,T2,,,33.140,Reparasjon og vedlikehold av elektrisk utstyr,33.140,Reparasjon av elektrisk utstyr,korrespondanse-1til1,false,false,33.140
Reparasjon og vedlikehold av luftfartøyer og romfartøyer,1,2025-08-21,2025-08-21,1,0,SN2007,T1,33.160,Reparasjon og vedlikehold av luftfartøyer og romfartøyer,,,33.160,Reparasjon og vedlikehold av luftfartøyer og romfartøyer,direkte,false,,
Reparasjon og vedlikehold av motorsykler,1,2026-05-26,2026-05-26,0,1,SN2025,T2,,,95.320,Reparasjon og vedlikehold av motorsykler,45.403,Vedlikehold og reparasjon av motorsykler,korrespondanse-1til1,false,false,95.320
"Butikkhandel med bredt vareutvalg ellers
Butikkhandel med in",1,2023-02-27,2023-02-27,1,0,SN2007,,,,,,,,,,,
Reparasjon og vedlikehold av sivile skip og båter,1,2025-10-21,2025-10-21,0,1,SN2025,T2,,,33.150,Reparasjon og vedlikehold av sivile skip og båter,33.120|33.150,Reparasjon av maskiner | Reparasjon og vedlikehold av skip og båter,korrespondanse-1tilmange,false,false,33.150
Revisjon,1,2021-09-10,2021-09-10,1,0,SN2007,T1,69.202,Revisjon,69.201,Revisjon,69.202,Revisjon,direkte,false,false,69.201
"Butikkhandel med bakervarer og konditorvarer
Butikkhandel me",1,2024-03-21,2024-03-21,1,0,SN2007,,,,,,,,,,,
"Rørleggerarbeid
Engroshandel med rengjøringsmidler",1,2022-09-12,2022-09-12,1,0,SN2007,,,,,,,,,,,
Sauehold,1,2024-01-19,2024-01-19,1,0,SN2007,T1,01.451,Sauehold,01.451,Sauehold,01.451,Sauehold,direkte,false,false,01.451
Selvstendig kunstnerisk virksomhet ikke nevnt annet sted,1,2025-04-22,2025-04-22,1,0,SN2007,T1,90.039,Selvstendig kunstnerisk virksomhet ikke nevnt annet sted,,,90.039,Selvstendig kunstnerisk virksomhet ikke nevnt annet sted,direkte,false,,
"Butikkhandel ikke nevnt annet sted
Varig tilrettelagt arbeid",1,2024-08-02,2024-08-02,1,0,SN2007,,,,,,,,,,,
Skadedyrkontroll,1,2023-02-28,2023-02-28,1,0,SN2007,T1,81.291,Skadedyrkontroll,,,81.291,Skadedyrkontroll,direkte,false,,
Skapende kunstnerisk virksomhet innenfor komposisjon av musi,1,2025-12-17,2025-12-17,0,1,SN2025,T2,,,90.112,Skapende kunstnerisk virksomhet innenfor komposisjon av musikk,90.032,Selvstendig kunstnerisk virksomhet innen musikk,korrespondanse-1til1,false,false,90.112
Bryting av ikke-jernholdig malm ellers,1,2024-08-16,2024-08-16,1,0,SN2007,T1,07.290,Bryting av ikke-jernholdig malm ellers,07.290,Bryting av ikke-jernholdig malm ellers,07.290,Bryting av ikke-jernholdig malm ellers,direkte,false,false,07.290
"Slakting av fisk, skalldyr og bløtdyr",1,2025-09-05,2025-09-05,0,1,SN2025,T2,,,10.202,"Slakting av fisk, skalldyr og bløtdyr",10.209,"Slakting, bearbeiding og konservering av fisk og fiskevarer ellers",korrespondanse-1til1,false,false,10.202
"Bryting av dekorstein, kalkstein, gips, skifer og annen stei",1,2026-03-16,2026-03-16,0,1,SN2025,T2,,,08.110,"Bryting av dekorstein, kalkstein, gips, skifer og annen stein",08.111|08.112|08.113,"Bryting av stein til bygge- og anleggsvirksomhet | Bryting av kalkstein, gips og kritt | Bryting av skifer",korrespondanse-1tilmange,false,false,08.110
