etikett,flerbransje,primaernaering,selskaper,forste_dato,siste_dato,selsk_for_som,selsk_etter_som,vintage,metode,standard,kode,kodenavn,kodeniva,kanonisk_sn2007,kanonisk_navn,kanonisk_kilde,naering2,er_bygg_F,er_bygg_kjerne,er_eiendomsutvikling_41_1,manuell_grunn
Postordre-/Internetthandel med elektriske husholdningsappara,false,,8,2022-09-06,2025-05-26,8,0,SN2007,T1,SN2007,47.914,"Postordre-/Internetthandel med elektriske husholdningsapparater, radio, fjernsyn, plater, kassetter og musikkinstrumenter",5,47.914,"Postordre-/Internetthandel med elektriske husholdningsapparater, radio, fjernsyn, plater, kassetter og musikkinstrumenter",direkte SN2007,47,false,false,false,
Produksjon av matfisk og skalldyr i hav- og kystbasert fiske,false,,8,2023-05-16,2025-03-28,8,0,SN2007,T6,SN2007,03.211,(manuelt tilordnet),5,03.211,(manuelt tilordnet),direkte SN2007,03,false,false,false,"Avkortet ved 60 tegn; tilsvarer 03.211 «Produksjon av matfisk, bløtdyr, krepsdyr og pigghuder i hav- og kystbasert akvakultur»."
Detaljhandel med nærings- og nytelsesmidler ellers,false,,8,2025-09-26,2026-06-18,0,8,SN2025,T2,SN2025,47.270,Detaljhandel med nærings- og nytelsesmidler ellers,5,47.291|47.292|47.299|47.810|47.917|47.919|47.990,"Butikkhandel med helsekost | Butikkhandel med kaffe og te | Butikkhandel med nærings- og nytelsesmidler ikke nevnt annet sted | Torghandel med næringsmidler, drikkevarer og tobakksvarer | Postordre-/Internetthandel med helsekost | Postordre-/Internetthandel med annet spesialisert vareutvalg | Detaljhandel utenom utsalgssted ellers",korrespondanse 1:n,47,false,false,false,
Spedisjon,false,,8,2021-05-27,2024-12-16,8,0,SN2007,T1,SN2007,52.291,Spedisjon,5,52.291,Spedisjon,direkte SN2007,52,false,false,false,
Detaljhandel med tekstiler og utstyrsvarer,false,,8,2025-09-03,2026-03-19,0,8,SN2025,T2,SN2025,47.510,Detaljhandel med tekstiler og utstyrsvarer,5,47.510|47.820|47.912|47.990,"Butikkhandel med tekstiler og utstyrsvarer | Torghandel med tekstiler, klær, skotøy og utstyrsvarer | Postordre-/Internetthandel med tekstiler, utstyrsvarer, klær, skotøy, reiseeffekter og lærvarer | Detaljhandel utenom utsalgssted ellers",korrespondanse 1:n,47,false,false,false,
Teknisk prøving og analyse,false,,8,2023-03-31,2026-08-20,6,2,begge,T1,SN2007,71.200,Teknisk prøving og analyse,5,71.200,Teknisk prøving og analyse,direkte SN2007,71,false,false,false,
Engroshandel med drikkevarer,false,,8,2025-09-18,2026-08-10,0,8,SN2025,T2,SN2025,46.340,Engroshandel med drikkevarer,5,46.341|46.349,Engroshandel med vin og brennevin | Engroshandel med drikkevarer ellers,korrespondanse 1:n,46,false,false,false,
Kabelbasert telekommunikasjon,false,,8,2023-06-23,2025-08-08,8,0,SN2007,T1,SN2007,61.100,Kabelbasert telekommunikasjon,5,61.100,Kabelbasert telekommunikasjon,direkte SN2007,61,false,false,false,
Engroshandel med sykepleie- og apotekvarer,false,,8,2022-06-08,2025-07-09,8,0,SN2007,T1,SN2007,46.460,Engroshandel med sykepleie- og apotekvarer,5,46.460,Engroshandel med sykepleie- og apotekvarer,direkte SN2007,46,false,false,false,
Butikkhandel med kosmetikk og toalettartikler,false,,8,2019-10-21,2025-08-29,8,0,SN2007,T1,SN2007,47.750,Butikkhandel med kosmetikk og toalettartikler,5,47.750,Butikkhandel med kosmetikk og toalettartikler,direkte SN2007,47,false,false,false,
