etikett,flerbransje,primaernaering,selskaper,forste_dato,siste_dato,selsk_for_som,selsk_etter_som,vintage,metode,standard,kode,kodenavn,kodeniva,kanonisk_sn2007,kanonisk_navn,kanonisk_kilde,naering2,er_bygg_F,er_bygg_kjerne,er_eiendomsutvikling_41_1,manuell_grunn
Oppføring av bygninger,false,,1470,2018-10-19,2026-08-24,1169,301,begge,T1,SN2007,41.200,Oppføring av bygninger,5,41.200,Oppføring av bygninger,direkte SN2007,41,true,true,false,
Drift av restauranter og kafeer,false,,834,2019-10-22,2025-08-27,834,0,SN2007,T1,SN2007,56.101,Drift av restauranter og kafeer,5,56.101,Drift av restauranter og kafeer,direkte SN2007,56,false,false,false,
Snekkerarbeid,false,,411,2021-02-10,2026-08-18,321,90,begge,T1,SN2007,43.320,Snekkerarbeid,5,43.320,Snekkerarbeid,direkte SN2007,43,true,true,false,
Godstransport på vei,false,,384,2019-05-28,2026-08-17,282,102,begge,T1,SN2007,49.410,Godstransport på vei,5,49.410,Godstransport på vei,direkte SN2007,49,false,false,false,
Grunnarbeid,false,,333,2020-01-10,2026-08-24,242,91,begge,T1,SN2007,43.120,Grunnarbeid,5,43.120,Grunnarbeid,direkte SN2007,43,true,true,false,
Drift av restauranter,false,,309,2025-09-02,2026-08-24,0,309,SN2025,T2,SN2025,56.110,Drift av restauranter,5,56.101|56.102,Drift av restauranter og kafeer | Drift av gatekjøkken,korrespondanse 1:n,56,false,false,false,
Utleie av egen eller leid fast eiendom ellers,false,,308,2017-12-20,2025-08-29,308,0,SN2007,T1,SN2007,68.209,Utleie av egen eller leid fast eiendom ellers,5,68.209,Utleie av egen eller leid fast eiendom ellers,direkte SN2007,68,false,false,false,
Utvikling og salg av egen fast eiendom ellers,false,,296,2019-02-19,2025-08-29,296,0,SN2007,T1,SN2007,41.109,Utvikling og salg av egen fast eiendom ellers,5,41.109,Utvikling og salg av egen fast eiendom ellers,direkte SN2007,41,true,false,true,
Uoppgitt,false,,290,2021-04-15,2026-08-24,191,99,begge,IKKE_NAERING,,,,,,,,,,,,
Bedriftsrådgivning og annen administrativ rådgivning,false,,273,2021-09-10,2026-08-17,186,87,begge,T1,SN2007,70.220,Bedriftsrådgivning og annen administrativ rådgivning,5,70.220,Bedriftsrådgivning og annen administrativ rådgivning,direkte SN2007,70,false,false,false,
Annen teknisk konsulentvirksomhet,false,,267,2019-11-28,2026-08-21,205,62,begge,T1,SN2007,71.129,Annen teknisk konsulentvirksomhet,5,71.129,Annen teknisk konsulentvirksomhet,direkte SN2007,71,false,false,false,
Programmeringstjenester,false,,202,2021-06-16,2025-08-27,202,0,SN2007,T1,SN2007,62.010,Programmeringstjenester,5,62.010,Programmeringstjenester,direkte SN2007,62,false,false,false,
Annen spesialisert bygge- og anleggsvirksomhet,false,,189,2017-05-15,2025-08-26,189,0,SN2007,T1,SN2007,43.990,Annen spesialisert bygge- og anleggsvirksomhet,5,43.990,Annen spesialisert bygge- og anleggsvirksomhet,direkte SN2007,43,true,true,false,
Kjøp og salg av egen fast eiendom,false,,176,2019-02-06,2026-08-21,119,57,begge,T1,SN2007,68.100,Kjøp og salg av egen fast eiendom,5,68.100,Kjøp og salg av egen fast eiendom,direkte SN2007,68,false,false,false,
Frisering og annen skjønnhetspleie,false,,174,2022-08-19,2025-08-27,174,0,SN2007,T1,SN2007,96.020,Frisering og annen skjønnhetspleie,5,96.020,Frisering og annen skjønnhetspleie,direkte SN2007,96,false,false,false,
Rørleggerarbeid,false,,170,2019-11-19,2026-08-21,152,18,begge,T1,SN2007,43.221,Rørleggerarbeid,5,43.221,Rørleggerarbeid,direkte SN2007,43,true,true,false,
Butikkhandel med klær,false,,165,2020-03-10,2025-08-21,165,0,SN2007,T1,SN2007,47.710,Butikkhandel med klær,5,47.710,Butikkhandel med klær,direkte SN2007,47,false,false,false,
"Vedlikehold og reparasjon av motorvogner, unntatt motorsykle",false,,159,2022-02-14,2025-08-19,159,0,SN2007,T1,SN2007,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",5,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",direkte SN2007,45,false,false,false,
Elektrisk installasjonsarbeid,false,,144,2019-10-28,2026-08-04,102,42,begge,T1,SN2007,43.210,Elektrisk installasjonsarbeid,5,43.210,Elektrisk installasjonsarbeid,direkte SN2007,43,true,true,false,
Rengjøring av bygninger,false,,137,2020-03-10,2026-08-17,95,42,begge,T1,SN2007,81.210,Rengjøring av bygninger,5,81.210,Rengjøring av bygninger,direkte SN2007,81,false,false,false,
Utleie av egen eller leid fast eiendom,false,,134,2025-09-01,2026-08-24,0,134,SN2025,T2,SN2025,68.200,Utleie av egen eller leid fast eiendom,5,68.209,Utleie av egen eller leid fast eiendom ellers,korrespondanse 1:1,68,false,false,false,
Drift av gatekjøkken,false,,133,2020-04-17,2025-08-21,133,0,SN2007,T1,SN2007,56.102,Drift av gatekjøkken,5,56.102,Drift av gatekjøkken,direkte SN2007,56,false,false,false,
Malerarbeid,false,,123,2022-03-01,2025-08-14,123,0,SN2007,T1,SN2007,43.341,Malerarbeid,5,43.341,Malerarbeid,direkte SN2007,43,true,true,false,
Butikkhandel med bredt vareutvalg med hovedvekt på nærings-,false,,114,2021-11-05,2025-08-19,114,0,SN2007,T1,SN2007,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,5,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,direkte SN2007,47,false,false,false,
"Detaljhandel med biler og lette motorvogner, unntatt motorsy",false,,107,2021-07-08,2025-08-20,107,0,SN2007,T1,SN2007,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",5,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",direkte SN2007,45,false,false,false,
Utvikling og salg av byggeprosjekter,false,,102,2025-09-08,2026-08-24,0,102,SN2025,T2,SN2025,68.120,Utvikling og salg av byggeprosjekter,5,41.101|41.109|42.990,Boligbyggelag | Utvikling og salg av egen fast eiendom ellers | Bygging av andre anlegg ikke nevnt annet sted,korrespondanse 1:n,41|42,true,true,true,
Byggeteknisk konsulentvirksomhet,false,,98,2021-01-11,2026-06-22,68,30,begge,T1,SN2007,71.121,Byggeteknisk konsulentvirksomhet,5,71.121,Byggeteknisk konsulentvirksomhet,direkte SN2007,71,false,false,false,
Postordre-/Internetthandel med annet spesialisert vareutvalg,false,,95,2020-07-06,2025-08-15,95,0,SN2007,T1,SN2007,47.919,Postordre-/Internetthandel med annet spesialisert vareutvalg,5,47.919,Postordre-/Internetthandel med annet spesialisert vareutvalg,direkte SN2007,47,false,false,false,
Reklamebyråer,false,,89,2022-09-02,2025-08-13,89,0,SN2007,T1,SN2007,73.110,Reklamebyråer,5,73.110,Reklamebyråer,direkte SN2007,73,false,false,false,
Andre post- og budtjenester,false,,85,2021-10-05,2026-08-21,63,22,begge,T1,SN2007,53.200,Andre post- og budtjenester,5,53.200,Andre post- og budtjenester,direkte SN2007,53,false,false,false,
Utleie av arbeidskraft,false,,83,2019-10-23,2025-08-19,83,0,SN2007,T1,SN2007,78.200,Utleie av arbeidskraft,5,78.200,Utleie av arbeidskraft,direkte SN2007,78,false,false,false,
Konsulentvirksomhet tilknyttet informasjonsteknologi,false,,77,2022-08-23,2025-08-28,77,0,SN2007,T1,SN2007,62.020,Konsulentvirksomhet tilknyttet informasjonsteknologi,5,62.020,Konsulentvirksomhet tilknyttet informasjonsteknologi,direkte SN2007,62,false,false,false,
Dataprogrammeringstjenester,false,,71,2025-09-01,2026-08-24,0,71,SN2025,T2,SN2025,62.100,Dataprogrammeringstjenester,5,62.010,Programmeringstjenester,korrespondanse 1:1,62,false,false,false,
Cateringvirksomhet,false,,61,2022-01-26,2025-08-18,61,0,SN2007,T1,SN2007,56.210,Cateringvirksomhet,5,56.210,Cateringvirksomhet,direkte SN2007,56,false,false,false,
"Industridesign, produktdesign og annen teknisk designvirksom",false,,60,2021-08-12,2025-08-28,60,0,SN2007,T1,SN2007,74.101,"Industridesign, produktdesign og annen teknisk designvirksomhet",5,74.101,"Industridesign, produktdesign og annen teknisk designvirksomhet",direkte SN2007,74,false,false,false,
Detaljhandel med drivstoff til motorvogner,false,,57,2022-04-06,2026-03-13,46,11,begge,T1,SN2007,47.300,Detaljhandel med drivstoff til motorvogner,5,47.300,Detaljhandel med drivstoff til motorvogner,direkte SN2007,47,false,false,false,
Detaljhandel med klær,false,,56,2025-09-01,2026-08-19,0,56,SN2025,T2,SN2025,47.710,Detaljhandel med klær,5,47.710|47.820|47.912|47.990,"Butikkhandel med klær | Torghandel med tekstiler, klær, skotøy og utstyrsvarer | Postordre-/Internetthandel med tekstiler, utstyrsvarer, klær, skotøy, reiseeffekter og lærvarer | Detaljhandel utenom utsalgssted ellers",korrespondanse 1:n,47,false,false,false,
"Produksjon av film, video og fjernsynsprogrammer",false,,56,2022-04-29,2026-08-21,38,18,begge,T1,SN2007,59.110,"Produksjon av film, video og fjernsynsprogrammer",5,59.110,"Produksjon av film, video og fjernsynsprogrammer",direkte SN2007,59,false,false,false,
Engroshandel med byggevarer ikke nevnt annet sted,false,,56,2021-12-10,2025-07-08,56,0,SN2007,T1,SN2007,46.739,Engroshandel med byggevarer ikke nevnt annet sted,5,46.739,Engroshandel med byggevarer ikke nevnt annet sted,direkte SN2007,46,false,false,false,
Drift av puber,false,,55,2022-09-28,2025-08-29,55,0,SN2007,T1,SN2007,56.301,Drift av puber,5,56.301,Drift av puber,direkte SN2007,56,false,false,false,
Detaljhandel utenom utsalgssted ellers,false,,55,2023-01-19,2025-08-07,55,0,SN2007,T1,SN2007,47.990,Detaljhandel utenom utsalgssted ellers,5,47.990,Detaljhandel utenom utsalgssted ellers,direkte SN2007,47,false,false,false,
Produksjon av brød og ferske konditorvarer,false,,53,2021-08-25,2026-06-04,39,14,begge,T1,SN2007,10.710,Produksjon av brød og ferske konditorvarer,5,10.710,Produksjon av brød og ferske konditorvarer,direkte SN2007,10,false,false,false,
Butikkhandel med blomster og planter,false,,51,2022-10-25,2025-06-30,51,0,SN2007,T1,SN2007,47.761,Butikkhandel med blomster og planter,5,47.761,Butikkhandel med blomster og planter,direkte SN2007,47,false,false,false,
Hav- og kystfiske,false,,49,2021-09-06,2025-08-27,49,0,SN2007,T1,SN2007,03.111,Hav- og kystfiske,5,03.111,Hav- og kystfiske,direkte SN2007,03,false,false,false,
VVS-arbeid,false,,48,2025-09-02,2026-04-13,0,48,SN2025,T3,SN2025,43.22,VVS-arbeid,4,43.22,VVS-arbeid,identisk kode i begge standarder,43,true,true,false,
Reparasjon og vedlikehold av motorvogner,false,,47,2025-09-05,2026-08-21,0,47,SN2025,T2,SN2025,95.310,Reparasjon og vedlikehold av motorvogner,5,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",korrespondanse 1:1,45,false,false,false,
Gulvlegging og tapetsering,false,,46,2022-09-14,2026-08-17,35,11,begge,T1,SN2007,43.330,Gulvlegging og tapetsering,5,43.330,Gulvlegging og tapetsering,direkte SN2007,43,true,true,false,
Butikkhandel med innredningsartikler ikke nevnt annet sted,false,,45,2020-04-27,2025-08-26,45,0,SN2007,T1,SN2007,47.599,Butikkhandel med innredningsartikler ikke nevnt annet sted,5,47.599,Butikkhandel med innredningsartikler ikke nevnt annet sted,direkte SN2007,47,false,false,false,
Vaktmestertjenester,false,,44,2022-02-17,2025-07-10,44,0,SN2007,T1,SN2007,81.101,Vaktmestertjenester,5,81.101,Vaktmestertjenester,direkte SN2007,81,false,false,false,
"Postordre-/Internetthandel med tekstiler, utstyrsvarer, klær",false,,42,2022-09-14,2025-08-07,42,0,SN2007,T1,SN2007,47.912,"Postordre-/Internetthandel med tekstiler, utstyrsvarer, klær, skotøy, reiseeffekter og lærvarer",5,47.912,"Postordre-/Internetthandel med tekstiler, utstyrsvarer, klær, skotøy, reiseeffekter og lærvarer",direkte SN2007,47,false,false,false,
Frisering og barbering,false,,42,2025-09-05,2026-08-13,0,42,SN2025,T2,SN2025,96.210,Frisering og barbering,5,96.020,Frisering og annen skjønnhetspleie,korrespondanse 1:1,96,false,false,false,
Detaljhandel med motorvogner,false,,41,2025-09-08,2026-08-10,0,41,SN2025,T2,SN2025,47.810,Detaljhandel med motorvogner,5,45.112|45.192,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler | Detaljhandel med andre motorvogner, unntatt motorsykler",korrespondanse 1:n,45,false,false,false,
Bearbeiding av metaller,false,,39,2021-09-29,2026-08-20,29,10,begge,T1,SN2007,25.620,Bearbeiding av metaller,5,25.620,Bearbeiding av metaller,direkte SN2007,25,false,false,false,
Annen undervisning ikke nevnt annet sted,false,,39,2021-08-18,2025-08-14,39,0,SN2007,T1,SN2007,85.599,Annen undervisning ikke nevnt annet sted,5,85.599,Annen undervisning ikke nevnt annet sted,direkte SN2007,85,false,false,false,
Detaljhandel med bredt vareutvalg med hovedvekt på nærings-,false,,39,2025-09-02,2026-08-24,0,39,SN2025,T2,SN2025,47.110,Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,5,47.111|47.112|47.810|47.911|47.990,"Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler | Kioskhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler | Torghandel med næringsmidler, drikkevarer og tobakksvarer | Postordre-/Internetthandel med bredt vareutvalg | Detaljhandel utenom utsalgssted ellers",korrespondanse 1:n,47,false,false,false,
Utleie og leasing av biler og andre lette motorvogner,false,,38,2019-11-07,2026-07-22,28,10,begge,T1,SN2007,77.110,Utleie og leasing av biler og andre lette motorvogner,5,77.110,Utleie og leasing av biler og andre lette motorvogner,direkte SN2007,77,false,false,false,
Flyttetransport,false,,38,2022-01-25,2026-08-05,29,9,begge,T1,SN2007,49.420,Flyttetransport,5,49.420,Flyttetransport,direkte SN2007,49,false,false,false,
Rekruttering og formidling av arbeidskraft,false,,38,2022-04-25,2026-07-14,29,9,begge,T1,SN2007,78.100,Rekruttering og formidling av arbeidskraft,5,78.100,Rekruttering og formidling av arbeidskraft,direkte SN2007,78,false,false,false,
Maler- og glassarbeid,false,,38,2025-09-03,2026-08-18,0,38,SN2025,T2,SN2025,43.340,Maler- og glassarbeid,5,43.341|43.342|43.390,Malerarbeid | Glassarbeid | Annen ferdiggjøring av bygninger,korrespondanse 1:n,43,true,true,false,
"Drift av hoteller, pensjonater og moteller med restaurant",false,,38,2020-01-02,2025-07-03,38,0,SN2007,T1,SN2007,55.101,"Drift av hoteller, pensjonater og moteller med restaurant",5,55.101,"Drift av hoteller, pensjonater og moteller med restaurant",direkte SN2007,55,false,false,false,
Telefonsalg,false,,38,2020-10-16,2025-07-22,38,0,SN2007,T1,SN2007,82.202,Telefonsalg,5,82.202,Telefonsalg,direkte SN2007,82,false,false,false,
Utleie og leasing av bygge- og anleggsmaskiner og -utstyr,false,,37,2022-08-15,2026-07-09,29,8,begge,T1,SN2007,77.320,Utleie og leasing av bygge- og anleggsmaskiner og -utstyr,5,77.320,Utleie og leasing av bygge- og anleggsmaskiner og -utstyr,direkte SN2007,77,false,false,false,
Konsulentvirksomhet tilknyttet informasjonsteknologi og forv,false,,37,2025-09-15,2026-07-13,0,37,SN2025,T2,SN2025,62.200,Konsulentvirksomhet tilknyttet informasjonsteknologi og forvaltning og drift av IT-systemer,5,62.020|62.030,Konsulentvirksomhet tilknyttet informasjonsteknologi | Forvaltning og drift av IT-systemer,korrespondanse 1:n,62,false,false,false,
Drift av web-portaler,false,,36,2022-09-01,2025-07-29,36,0,SN2007,T1,SN2007,63.120,Drift av web-portaler,5,63.120,Drift av web-portaler,direkte SN2007,63,false,false,false,
Butikkhandel ikke nevnt annet sted,false,,36,2019-09-03,2025-07-02,36,0,SN2007,T1,SN2007,47.789,Butikkhandel ikke nevnt annet sted,5,47.789,Butikkhandel ikke nevnt annet sted,direkte SN2007,47,false,false,false,
Butikkhandel med møbler,false,,36,2022-07-22,2025-08-29,36,0,SN2007,T1,SN2007,47.591,Butikkhandel med møbler,5,47.591,Butikkhandel med møbler,direkte SN2007,47,false,false,false,
Tjenester tilknyttet underholdningsvirksomhet,false,,36,2022-02-17,2025-07-03,36,0,SN2007,T1,SN2007,90.020,Tjenester tilknyttet underholdningsvirksomhet,5,90.020,Tjenester tilknyttet underholdningsvirksomhet,direkte SN2007,90,false,false,false,
Andre helsetjenester,false,,35,2022-06-01,2025-08-28,35,0,SN2007,T1,SN2007,86.909,Andre helsetjenester,5,86.909,Andre helsetjenester,direkte SN2007,86,false,false,false,
Kioskhandel med bredt vareutvalg med hovedvekt på nærings- o,false,,35,2018-10-16,2025-07-01,35,0,SN2007,T1,SN2007,47.112,Kioskhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,5,47.112,Kioskhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,direkte SN2007,47,false,false,false,
Butikkhandel med sportsutstyr,false,,35,2020-02-03,2025-08-27,35,0,SN2007,T1,SN2007,47.641,Butikkhandel med sportsutstyr,5,47.641,Butikkhandel med sportsutstyr,direkte SN2007,47,false,false,false,
Drift av barer,false,,34,2025-09-03,2026-08-19,0,34,SN2025,T2,SN2025,56.300,Drift av barer,5,56.301|56.309,Drift av puber | Drift av barer ellers,korrespondanse 1:n,56,false,false,false,
Reklamebyråvirksomhet,false,,34,2025-09-19,2026-08-05,0,34,SN2025,T2,SN2025,73.110,Reklamebyråvirksomhet,5,73.110,Reklamebyråer,korrespondanse 1:1,73,false,false,false,
"Engroshandel med maskiner og utstyr til handel, transport og",false,,33,2021-12-10,2025-08-15,33,0,SN2007,T1,SN2007,46.694,"Engroshandel med maskiner og utstyr til handel, transport og tjenesteyting ellers",5,46.694,"Engroshandel med maskiner og utstyr til handel, transport og tjenesteyting ellers",direkte SN2007,46,false,false,false,
Virksomhet knyttet til kroppspleie og fysisk velvære,false,,32,2021-06-22,2025-08-14,32,0,SN2007,T1,SN2007,96.040,Virksomhet knyttet til kroppspleie og fysisk velvære,5,96.040,Virksomhet knyttet til kroppspleie og fysisk velvære,direkte SN2007,96,false,false,false,
Drosjebiltransport,false,,32,2020-03-13,2025-08-27,32,0,SN2007,T1,SN2007,49.320,Drosjebiltransport,5,49.320,Drosjebiltransport,direkte SN2007,49,false,false,false,
Engroshandel med bredt utvalg av nærings- og nytelsesmidler,false,,31,2021-12-10,2026-06-29,23,8,begge,T1,SN2007,46.390,Engroshandel med bredt utvalg av nærings- og nytelsesmidler,5,46.390,Engroshandel med bredt utvalg av nærings- og nytelsesmidler,direkte SN2007,46,false,false,false,
Reparasjon og vedlikehold av skip og båter,false,,31,2022-10-20,2025-06-13,31,0,SN2007,T1,SN2007,33.150,Reparasjon og vedlikehold av skip og båter,5,33.150,Reparasjon og vedlikehold av skip og båter,direkte SN2007,33,false,false,false,
Utleie og leasing av andre maskiner og annet utstyr og mater,false,,30,2021-07-05,2026-05-21,24,6,begge,T1,SN2007,77.390,Utleie og leasing av andre maskiner og annet utstyr og materiell ikke nevnt annet sted,5,77.390,Utleie og leasing av andre maskiner og annet utstyr og materiell ikke nevnt annet sted,direkte SN2007,77,false,false,false,
"Interiørarkitekt, interiørdesign og interiørkonsulentvirksom",false,,29,2022-11-02,2025-08-06,29,0,SN2007,T5,SN2007,74.103,"Interiørarkitekt-, interiørdesign- og interiørkonsulentvirksomhet",5,74.103,"Interiørarkitekt-, interiørdesign- og interiørkonsulentvirksomhet",direkte SN2007,74,false,false,false,
Eiendomsmegling,false,,29,2019-09-10,2025-08-22,29,0,SN2007,T1,SN2007,68.310,Eiendomsmegling,5,68.310,Eiendomsmegling,direkte SN2007,68,false,false,false,
Fotografvirksomhet,false,,29,2023-03-21,2026-06-30,21,8,begge,T1,SN2007,74.200,Fotografvirksomhet,5,74.200,Fotografvirksomhet,direkte SN2007,74,false,false,false,
Beplantning av hager og parkanlegg,false,,29,2021-08-31,2026-04-14,23,6,begge,T1,SN2007,81.300,Beplantning av hager og parkanlegg,5,81.300,Beplantning av hager og parkanlegg,direkte SN2007,81,false,false,false,
Ventilasjonsarbeid,false,,28,2020-08-24,2026-04-27,26,2,begge,T1,SN2007,43.223,Ventilasjonsarbeid,5,43.223,Ventilasjonsarbeid,direkte SN2007,43,true,true,false,
"Opplevelses-, arrangements- og aktivitetsarrangørvirksomhet",false,,28,2023-03-07,2025-07-16,28,0,SN2007,T1,SN2007,79.903,"Opplevelses-, arrangements- og aktivitetsarrangørvirksomhet",5,79.903,"Opplevelses-, arrangements- og aktivitetsarrangørvirksomhet",direkte SN2007,79,false,false,false,
Produksjon av bygningsartikler,false,,27,2022-01-21,2025-06-24,27,0,SN2007,T1,SN2007,16.232,Produksjon av bygningsartikler,5,16.232,Produksjon av bygningsartikler,direkte SN2007,16,false,false,false,
Drift av idrettsanlegg,false,,27,2021-10-13,2025-10-17,25,2,begge,T1,SN2007,93.110,Drift av idrettsanlegg,5,93.110,Drift av idrettsanlegg,direkte SN2007,93,false,false,false,
Takarbeid ellers,false,,26,2022-01-25,2025-07-11,26,0,SN2007,T1,SN2007,43.919,Takarbeid ellers,5,43.919,Takarbeid ellers,direkte SN2007,43,true,true,false,
Annen forskning og annet utviklingsarbeid innen naturvitensk,false,,26,2016-10-27,2025-08-26,26,0,SN2007,T1,SN2007,72.190,Annen forskning og annet utviklingsarbeid innen naturvitenskap og teknikk,5,72.190,Annen forskning og annet utviklingsarbeid innen naturvitenskap og teknikk,direkte SN2007,72,false,false,false,
Butikkhandel med spill og leker,false,,26,2019-01-24,2025-08-19,26,0,SN2007,T1,SN2007,47.650,Butikkhandel med spill og leker,5,47.650,Butikkhandel med spill og leker,direkte SN2007,47,false,false,false,
Passasjertransport på forespørsel utført av fører med kjøret,false,,26,2025-09-01,2026-06-08,0,26,SN2025,T2,SN2025,49.330,Passasjertransport på forespørsel utført av fører med kjøretøy,5,49.320,Drosjebiltransport,korrespondanse 1:1,49,false,false,false,
Catering for arrangementer,false,,26,2025-09-18,2026-07-21,0,26,SN2025,T2,SN2025,56.210,Catering for arrangementer,5,56.210,Cateringvirksomhet,korrespondanse 1:1,56,false,false,false,
Andre tjenester tilknyttet kunstnerisk virksomhet og underho,false,,26,2025-09-03,2026-08-20,0,26,SN2025,T2,SN2025,90.390,Andre tjenester tilknyttet kunstnerisk virksomhet og underholdningsvirksomhet,5,90.020,Tjenester tilknyttet underholdningsvirksomhet,korrespondanse 1:1,90,false,false,false,
"Annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt",false,,25,2022-09-12,2025-08-21,25,0,SN2007,T1,SN2007,74.909,"Annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted",5,74.909,"Annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted",direkte SN2007,74,false,false,false,
Reparasjon av maskiner,false,,25,2022-02-01,2025-07-04,25,0,SN2007,T1,SN2007,33.120,Reparasjon av maskiner,5,33.120,Reparasjon av maskiner,direkte SN2007,33,false,false,false,
"Engroshandel med tømmer, trelast, byggevarer og sanitærutsty",false,,25,2025-09-10,2026-08-13,0,25,SN2025,T2,SN2025,46.830,"Engroshandel med tømmer, trelast, byggevarer og sanitærutstyr",5,46.731|46.732|46.733|46.739,Engroshandel med tømmer | Engroshandel med trelast | Engroshandel med fargevarer | Engroshandel med byggevarer ikke nevnt annet sted,korrespondanse 1:n,46,false,false,false,
Annen forretningsmessig tjenesteyting ikke nevnt annet sted,false,,25,2022-07-13,2026-07-01,22,3,begge,T1,SN2007,82.990,Annen forretningsmessig tjenesteyting ikke nevnt annet sted,5,82.990,Annen forretningsmessig tjenesteyting ikke nevnt annet sted,direkte SN2007,82,false,false,false,
Treningssentre,false,,23,2021-02-02,2025-07-10,23,0,SN2007,T1,SN2007,93.130,Treningssentre,5,93.130,Treningssentre,direkte SN2007,93,false,false,false,
Arkitekttjenester vedrørende byggverk,false,,23,2021-05-03,2025-07-09,23,0,SN2007,T1,SN2007,71.112,Arkitekttjenester vedrørende byggverk,5,71.112,Arkitekttjenester vedrørende byggverk,direkte SN2007,71,false,false,false,
Kuldeanlegg- og varmepumpearbeid,false,,23,2021-11-15,2025-08-25,23,0,SN2007,T1,SN2007,43.222,Kuldeanlegg- og varmepumpearbeid,5,43.222,Kuldeanlegg- og varmepumpearbeid,direkte SN2007,43,true,true,false,
Uspesifisert engroshandel,false,,23,2023-06-13,2026-07-13,15,8,begge,T1,SN2007,46.900,Uspesifisert engroshandel,5,46.900,Uspesifisert engroshandel,direkte SN2007,46,false,false,false,
"Detaljhandel med deler og utstyr til motorvogner, unntatt mo",false,,23,2022-10-05,2025-08-22,23,0,SN2007,T1,SN2007,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",5,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",direkte SN2007,45,false,false,false,
Engroshandel med spesialisert utvalg av nærings- og nytelses,false,,23,2022-06-14,2025-07-07,23,0,SN2007,T1,SN2007,46.389,Engroshandel med spesialisert utvalg av nærings- og nytelsesmidler ikke nevnt annet sted,5,46.389,Engroshandel med spesialisert utvalg av nærings- og nytelsesmidler ikke nevnt annet sted,direkte SN2007,46,false,false,false,
Engroshandel med klær,false,,22,2022-08-15,2025-08-08,22,0,SN2007,T1,SN2007,46.421,Engroshandel med klær,5,46.421,Engroshandel med klær,direkte SN2007,46,false,false,false,
Butikkhandel med tekstiler og utstyrsvarer,false,,22,2021-03-08,2025-06-24,22,0,SN2007,T1,SN2007,47.510,Butikkhandel med tekstiler og utstyrsvarer,5,47.510,Butikkhandel med tekstiler og utstyrsvarer,direkte SN2007,47,false,false,false,
Annet installasjonsarbeid,false,,22,2021-06-23,2026-03-13,14,8,begge,T1,SN2007,43.290,Annet installasjonsarbeid,5,43.290,Annet installasjonsarbeid,direkte SN2007,43,true,true,false,
Annen spesialisert bygge- og anleggsvirksomhet ikke nevnt an,false,,22,2025-09-25,2026-08-14,0,22,SN2025,T2,SN2025,43.990,Annen spesialisert bygge- og anleggsvirksomhet ikke nevnt annet sted,5,41.200|43.990,Oppføring av bygninger | Annen spesialisert bygge- og anleggsvirksomhet,korrespondanse 1:n,41|43,true,true,false,
"Detaljhandel med andre motorvogner, unntatt motorsykler",false,,21,2022-08-12,2024-12-23,21,0,SN2007,T1,SN2007,45.192,"Detaljhandel med andre motorvogner, unntatt motorsykler",5,45.192,"Detaljhandel med andre motorvogner, unntatt motorsykler",direkte SN2007,45,false,false,false,
Annen undervisning ellers,false,,21,2025-09-17,2026-07-13,0,21,SN2025,T2,SN2025,85.597,Annen undervisning ellers,5,85.599,Annen undervisning ikke nevnt annet sted,korrespondanse 1:1,85,false,false,false,
Detaljhandel med sportsvarer,false,,21,2025-10-01,2026-08-17,0,21,SN2025,T2,SN2025,47.631,Detaljhandel med sportsvarer,5,47.641|47.789|47.890|47.919|47.990,Butikkhandel med sportsutstyr | Butikkhandel ikke nevnt annet sted | Torghandel med andre varer | Postordre-/Internetthandel med annet spesialisert vareutvalg | Detaljhandel utenom utsalgssted ellers,korrespondanse 1:n,47,false,false,false,
Engroshandel med maskiner og utstyr ellers,false,,21,2025-09-09,2026-08-21,0,21,SN2025,T2,SN2025,46.640,Engroshandel med maskiner og utstyr ellers,5,46.431|46.640|46.691|46.692|46.693|46.694,"Engroshandel med elektriske husholdningsapparater og -maskiner | Engroshandel med maskiner og utstyr til tekstilproduksjon | Engroshandel med maskiner og utstyr til kraftproduksjon og installasjon | Engroshandel med skipsutstyr og fiskeredskap | Engroshandel med maskiner og utstyr til industri ellers | Engroshandel med maskiner og utstyr til handel, transport og tjenesteyting ellers",korrespondanse 1:n,46,false,false,false,
