standard,versjon_id,kode,navn,niva,forelder
SN2025,3218,01,"Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell",2,A
SN2025,3218,01.1,Dyrking av ettårige vekster,3,01
SN2025,3218,01.2,Dyrking av flerårige vekster,3,01
SN2025,3218,01.3,Planteformering,3,01
SN2025,3218,01.4,Husdyrhold,3,01
SN2025,3218,01.5,Kombinert husdyrhold og planteproduksjon,3,01
SN2025,3218,01.6,Tjenester tilknyttet jordbruk og etterbehandling av vekster etter innhøsting,3,01
SN2025,3218,01.7,"Jakt, fangst, viltstell og tilknyttede tjenester",3,01
SN2025,3218,01.11,"Dyrking av korn, unntatt ris, belgvekster og oljeholdige vekster",4,01.1
SN2025,3218,01.12,Dyrking av ris,4,01.1
SN2025,3218,01.13,"Dyrking av grønnsaker, meloner, rot- og knollvekster",4,01.1
SN2025,3218,01.14,Dyrking av sukkerrør,4,01.1
SN2025,3218,01.15,Dyrking av tobakk,4,01.1
SN2025,3218,01.16,Dyrking av fibervekster,4,01.1
SN2025,3218,01.19,Dyrking av ettårige vekster ellers,4,01.1
SN2025,3218,01.21,Dyrking av druer,4,01.2
SN2025,3218,01.22,Dyrking av tropiske og subtropiske frukter,4,01.2
SN2025,3218,01.23,Dyrking av sitrusfrukter,4,01.2
SN2025,3218,01.24,Dyrking av kjernefrukter og steinfrukter,4,01.2
SN2025,3218,01.25,Dyrking av annen frukt som vokser på trær eller busker samt nøtter,4,01.2
SN2025,3218,01.26,Dyrking av oljeholdige frukter,4,01.2
SN2025,3218,01.27,Dyrking av vekster for produksjon av drikkevarer,4,01.2
SN2025,3218,01.28,"Dyrking av krydder og aromatiske, medisinske og farmasøytiske vekster",4,01.2
SN2025,3218,01.29,Dyrking av flerårige vekster ellers,4,01.2
SN2025,3218,01.30,Planteformering,4,01.3
SN2025,3218,01.41,Melkeproduksjon på storfe og oppdrett av melkekyr,4,01.4
SN2025,3218,01.42,Oppdrett av annet storfe til kjøttproduksjon og sædproduksjon,4,01.4
SN2025,3218,01.43,Hestehold,4,01.4
SN2025,3218,01.44,Oppdrett av kameler og andre kameldyr,4,01.4
SN2025,3218,01.45,Saue- og geitehold,4,01.4
SN2025,3218,01.46,Svinehold,4,01.4
SN2025,3218,01.47,Fjørfehold,4,01.4
SN2025,3218,01.48,Husdyrhold ellers,4,01.4
SN2025,3218,01.50,Kombinert husdyrhold og planteproduksjon,4,01.5
SN2025,3218,01.61,Tjenester tilknyttet planteproduksjon,4,01.6
SN2025,3218,01.62,Tjenester tilknyttet husdyrhold,4,01.6
SN2025,3218,01.63,Etterbehandling av vekster etter innhøsting og behandling av såfrø,4,01.6
SN2025,3218,01.70,"Jakt, fangst, viltstell og tilknyttede tjenester",4,01.7
SN2025,3218,01.110,"Dyrking av korn, unntatt ris, belgvekster og oljeholdige vekster",5,01.11
SN2025,3218,01.120,Dyrking av ris,5,01.12
SN2025,3218,01.130,"Dyrking av grønnsaker, meloner, rot- og knollvekster",5,01.13
SN2025,3218,01.140,Dyrking av sukkerrør,5,01.14
SN2025,3218,01.150,Dyrking av tobakk,5,01.15
SN2025,3218,01.160,Dyrking av fibervekster,5,01.16
SN2025,3218,01.190,Dyrking av ettårige vekster ellers,5,01.19
SN2025,3218,01.210,Dyrking av druer,5,01.21
SN2025,3218,01.220,Dyrking av tropiske og subtropiske frukter,5,01.22
SN2025,3218,01.230,Dyrking av sitrusfrukter,5,01.23
SN2025,3218,01.240,Dyrking av kjernefrukter og steinfrukter,5,01.24
